Postcode,Electoral division,Per cent
3529,Mallee,100
3530,Mallee,100
3531,Mallee,100
3533,Mallee,100
3537,Murray,100
3540,Mallee,100
3542,Mallee,100
3544,Mallee,100
3546,Mallee,100
3549,Mallee,100
3550,Bendigo,100
3551,Bendigo,98.7
3551,Murray,1.3
3555,Bendigo,100
3556,Bendigo,100
3557,Bendigo,100
3558,Bendigo,77.2
3558,Murray,22.8
3559,Murray,100
3561,Murray,100
3562,Murray,100
3563,Murray,100
3564,Murray,100
3565,Murray,100
3566,Murray,100
3567,Mallee,100
3568,Mallee,100
3570,Bendigo,100
3571,Murray,100
3572,Murray,100
3573,Murray,100
3575,Murray,100
3576,Murray,100
3578,Mallee,100
3579,Mallee,100
3580,Mallee,100
3581,Mallee,100
3583,Mallee,100
3584,Mallee,100
3585,Farrer,5.2
3585,Mallee,94.8
3586,Mallee,100
3588,Mallee,100
3589,Mallee,100
3590,Mallee,100
3591,Mallee,100
3594,Mallee,100
3595,Mallee,100
3596,Mallee,100
3597,Mallee,100
3599,Mallee,100
3607,Indi,100
3608,Indi,100
3610,Murray,100
3612,Murray,100
3614,Murray,100
3616,Murray,100
3617,Murray,100
3618,Murray,100
3620,Murray,100
3621,Murray,100
3622,Murray,100
3623,Murray,100
3624,Murray,100
3629,Murray,100
3630,Murray,100
3631,Murray,100
3633,Murray,100
3634,Murray,100
3635,Murray,100
3636,Murray,100
3637,Murray,100
3638,Murray,100
3639,Murray,100
3640,Murray,100
3641,Murray,100
3644,Farrer,19.5
3644,Murray,80.5
3646,Indi,27.3
3646,Murray,72.7
3647,Murray,100
3649,Murray,100
3658,McEwen,100
3659,McEwen,100
3660,McEwen,100
3662,McEwen,100
3663,Indi,100
3664,Indi,100
3665,Indi,100
3666,Indi,100
3669,Indi,90
3669,Murray,10
3670,Indi,100
3672,Indi,100
3673,Indi,100
3675,Indi,100
3677,Indi,100
3678,Indi,100
3682,Indi,100
3683,Indi,100
3685,Indi,100
3687,Indi,100
3688,Indi,100
3690,Indi,100
3691,Indi,100
3693,Indi,100
3694,Indi,100
3695,Indi,100
3697,Indi,100
3698,Indi,100
3699,Indi,100
3700,Indi,100
3701,Indi,100
3704,Indi,100
3705,Indi,100
3707,Indi,100
3708,Indi,100
3709,Indi,100
3711,McEwen,100
3712,McEwen,100
3713,McEwen,100
3714,McEwen,100
3715,Indi,100
3717,McEwen,100
3718,McEwen,100
3719,McEwen,100
3720,Indi,100
3722,Indi,96
3722,McEwen,4
3723,Indi,100
3725,Indi,100
3726,Indi,100
3727,Indi,100
3728,Indi,57
3728,Murray,43
3730,Murray,100
3732,Indi,100
3733,Indi,100
3735,Indi,100
3737,Indi,100
3738,Indi,100
3739,Indi,100
3740,Indi,100
3741,Indi,100
3744,Indi,100
3746,Indi,100
3747,Indi,100
3749,Indi,100
3750,McEwen,100
3751,McEwen,100
3752,McEwen,5
3752,Scullin,95
3753,McEwen,100
3754,McEwen,100
3755,McEwen,100
3756,McEwen,100
3757,McEwen,100
3758,McEwen,100
3759,McEwen,100
3760,McEwen,100
3761,McEwen,100
3762,McEwen,100
3763,McEwen,100
3764,McEwen,100
3765,Casey,100
3766,Casey,100
3767,La Trobe,100
3770,Casey,100
3775,McEwen,100
3777,McEwen,100
3778,McEwen,100
3779,McEwen,100
3781,La Trobe,100
3782,Casey,3.5
3782,La Trobe,96.5
3783,La Trobe,100
3786,La Trobe,100
3787,La Trobe,100
3788,Casey,49.8
3788,La Trobe,50.2
3789,Casey,100
3791,Casey,100
3792,Casey,100
3793,Casey,100
3795,Casey,100
3796,Casey,100
3797,McEwen,100
3799,McEwen,100
3800,Chisholm,100
3802,Holt,100
3803,Holt,100
3804,Holt,66
3804,La Trobe,34
3805,Holt,79.5
3805,La Trobe,20.5
3806,Holt,11.5
3806,La Trobe,88.5
3807,La Trobe,100
3808,La Trobe,100
3809,La Trobe,100
3810,La Trobe,6.7
3810,McMillan,93.3
3812,McMillan,100
3813,McMillan,100
3814,McMillan,100
3815,McMillan,100
3816,McMillan,100
3818,McMillan,100
3820,McMillan,100
3821,McMillan,100
3822,McMillan,100
3823,McMillan,100
3824,McMillan,100
3825,Gippsland,0.8
3825,McMillan,99.2
3831,McMillan,100
3833,McMillan,100
3835,McMillan,100
3840,Gippsland,100
3842,Gippsland,100
3844,Gippsland,100
3847,Gippsland,100
3850,Gippsland,100
3851,Gippsland,100
3852,Gippsland,100
3854,Gippsland,100
3856,Gippsland,100
3857,Gippsland,100
3858,Gippsland,100
3859,Gippsland,100
3860,Gippsland,100
3862,Gippsland,100
3864,Gippsland,100
3865,Gippsland,100
3869,Gippsland,100
3870,Gippsland,100
3871,McMillan,100
3873,Gippsland,100
3874,Gippsland,100
3875,Gippsland,100
3878,Gippsland,100
3880,Gippsland,100
3882,Gippsland,100
3885,Gippsland,100
3886,Gippsland,100
3887,Gippsland,100
3888,Gippsland,100
3889,Gippsland,100
3890,Gippsland,100
3891,Gippsland,100
3892,Gippsland,100
3893,Gippsland,100
3895,Gippsland,100
3896,Gippsland,100
3898,Gippsland,100
3900,Gippsland,100
3902,Gippsland,100
3903,Gippsland,100
3904,Gippsland,100
3909,Gippsland,100
3910,Dunkley,100
3911,Dunkley,37.6
3911,Flinders,62.4
3912,Flinders,100
3913,Flinders,100
3915,Flinders,100
3916,Flinders,100
3918,Flinders,100
3919,Flinders,100
3920,Flinders,100
3921,Flinders,100
3922,Flinders,100
3923,Flinders,100
3925,Flinders,100
3926,Flinders,100
3927,Flinders,100
3928,Flinders,100
3929,Flinders,100
3930,Dunkley,100
3931,Dunkley,100
3933,Flinders,100
3934,Flinders,100
3936,Flinders,100
3937,Flinders,100
3938,Flinders,100
3939,Flinders,100
3940,Flinders,100
3941,Flinders,100
3942,Flinders,100
3943,Flinders,100
3944,Flinders,100
3945,McMillan,100
3946,McMillan,100
3950,McMillan,100
3951,McMillan,100
3953,McMillan,100
3954,McMillan,100
3956,McMillan,100
3957,McMillan,100
3958,McMillan,100
3959,McMillan,100
3960,McMillan,100
3962,Gippsland,13.2
3962,McMillan,86.8
3964,McMillan,100
3965,McMillan,100
3966,McMillan,100
3967,McMillan,100
3971,Gippsland,100
3975,Holt,100
3976,Holt,100
3977,Dunkley,2.3
3977,Flinders,13.2
3977,Holt,77.5
3977,Isaacs,7
3978,Flinders,61.3
3978,La Trobe,38.7
3979,Flinders,100
3980,Flinders,100
3981,Flinders,100
3984,Flinders,100
3987,McMillan,100
3988,McMillan,100
3989,Melbourne,100
3990,Flinders,100
3991,Flinders,100
3992,Flinders,100
3995,Flinders,6.5
3995,McMillan,93.5
3996,McMillan,100
4000,Brisbane,100
4005,Brisbane,100
4006,Brisbane,100
4007,Lilley,100
4008,Lilley,100
4009,Lilley,100
4010,Lilley,100
4011,Lilley,100
4012,Lilley,100
4013,Lilley,100
4014,Lilley,100
4017,Lilley,55.9
4017,Petrie,44.1
4018,Lilley,62.6
4018,Petrie,37.4
4019,Petrie,100
4020,Petrie,100
4021,Petrie,100
4022,Petrie,100
4025,Bonner,100
4029,Brisbane,100
4030,Brisbane,42.8
4030,Lilley,57.2
4031,Lilley,100
4032,Lilley,52
4032,Petrie,48
4034,Lilley,67.8
4034,Petrie,32.2
4035,Dickson,71.5
4035,Petrie,28.5
4036,Petrie,100
4037,Dickson,100
4051,Brisbane,100
4053,Brisbane,41.7
4053,Dickson,13
4053,Lilley,4.3
4053,Petrie,40.9
4054,Brisbane,52.5
4054,Dickson,47.5
4055,Brisbane,40.8
4055,Dickson,59.2
4059,Brisbane,100
4060,Brisbane,100
4061,Ryan,100
4064,Brisbane,96.2
4064,Ryan,3.8
4065,Brisbane,73.6
4065,Ryan,26.4
4066,Ryan,100
4067,Ryan,100
4068,Moreton,13.5
4068,Ryan,86.5
4069,Ryan,100
4070,Ryan,100
4072,Ryan,100
4073,Oxley,100
4074,Ryan,100
4075,Moreton,44.8
4075,Oxley,55.2
4076,Oxley,100
4077,Oxley,100
4078,Oxley,100
4101,Griffith,100
4102,Griffith,100
4103,Griffith,88
4103,Moreton,12
4104,Moreton,100
4105,Moreton,100
4106,Moreton,100
4107,Moreton,100
4108,Moreton,100
4109,Moreton,100
4110,Moreton,0.1
4110,Oxley,99.9
4111,Moreton,100
4112,Moreton,3.9
4112,Rankin,96.1
4113,Bonner,13.5
4113,Moreton,86
4113,Rankin,0.4
4114,Rankin,100
4115,Moreton,100
4116,Moreton,90.4
4116,Rankin,9.6
4117,Rankin,100
4118,Oxley,9.3
4118,Rankin,90.7
4119,Rankin,100
4120,Griffith,100
4121,Bonner,16.5
4121,Griffith,51.7
4121,Moreton,31.8
4122,Bonner,96.1
4122,Griffith,3.9
4123,Bonner,7.7
4123,Rankin,92.3
4124,Forde,31.4
4124,Rankin,68.6
4125,Forde,71.8
4125,Rankin,28.2
4127,Rankin,100
4128,Rankin,100
4129,Forde,77.3
4129,Rankin,22.7
4130,Bowman,100
4131,Forde,100
4132,Rankin,100
4133,Forde,100
4151,Griffith,100
4152,Bonner,41.3
4152,Griffith,58.7
4153,Bonner,100
4154,Bonner,100
4155,Bonner,100
4156,Bonner,100
4157,Bonner,1.8
4157,Bowman,98.2
4158,Bowman,100
4159,Bowman,100
4160,Bowman,100
4161,Bowman,100
4163,Bowman,100
4164,Bowman,100
4165,Bowman,100
4169,Griffith,100
4170,Bonner,1.1
4170,Griffith,98.9
4171,Griffith,100
4172,Bonner,80.5
4172,Griffith,19.5
4173,Bonner,100
4174,Bonner,100
4178,Bonner,100
4179,Bonner,100
4183,Bowman,100
4184,Bowman,100
4205,Forde,100
4207,Fadden,3.5
4207,Forde,96.5
4208,Fadden,40.9
4208,Forde,59.1
4209,Fadden,82
4209,Forde,18
4210,Fadden,72.7
4210,Forde,27.3
4211,Fadden,21.5
4211,Forde,5.3
4211,Moncrieff,73.2
4212,Fadden,100
4213,McPherson,69.1
4213,Moncrieff,30.9
4214,Fadden,64.4
4214,Moncrieff,35.6
4215,Fadden,63.1
4215,Moncrieff,36.9
4216,Fadden,100
4217,Moncrieff,100
4218,Moncrieff,100
4219,McPherson,100
4220,McPherson,63.6
4220,Moncrieff,36.4
4221,McPherson,100
4223,McPherson,100
4224,McPherson,100
4225,McPherson,100
4226,McPherson,92.6
4226,Moncrieff,7.4
4227,McPherson,100
4228,McPherson,100
4229,McPherson,100
4230,McPherson,100
4270,Forde,100
4271,Forde,100
4272,Forde,100
4275,Forde,100
4280,Forde,100
4285,Forde,100
4287,Forde,100
4300,Blair,1.2
4300,Oxley,98.8
4301,Oxley,100
4303,Oxley,100
4304,Oxley,100
4305,Blair,85.2
4305,Oxley,14.8
4306,Blair,80.4
4306,Ryan,19.6
4307,Blair,53.8
4307,Forde,46.3
4309,Forde,100
4310,Forde,100
4311,Blair,100
4312,Blair,100
4313,Blair,100
4340,Blair,81.5
4340,Forde,18.5
4341,Blair,100
4342,Blair,100
4343,Blair,100
4344,Blair,100
4345,Blair,100
4346,Blair,100
4347,Blair,100
4350,Groom,100
4352,Blair,22.9
4352,Groom,67.4
4352,Maranoa,9.7
4353,Blair,100
4354,Groom,100
4355,Blair,87.8
4355,Groom,12.2
4356,Groom,100
4357,Maranoa,100
4358,Groom,100
4359,Groom,100
4360,Groom,100
4361,Groom,85.6
4361,Maranoa,14.4
4362,Maranoa,100
4363,Groom,100
4364,Groom,100
4365,Maranoa,100
4370,Maranoa,100
4371,Maranoa,100
4372,Maranoa,100
4373,Maranoa,100
4374,Maranoa,100
4375,Maranoa,100
4376,Maranoa,100
4377,Maranoa,100
4378,Maranoa,100
4380,Maranoa,100
4381,Maranoa,100
4382,Maranoa,100
4383,Maranoa,100
4384,Maranoa,100
4385,Maranoa,100
4387,Maranoa,100
4388,Maranoa,100
4390,Maranoa,100
4400,Groom,100
4401,Groom,100
4402,Blair,68.8
4402,Groom,31.2
4403,Groom,100
4404,Groom,100
4405,Groom,1.6
4405,Maranoa,98.4
4406,Maranoa,100
4407,Maranoa,100
4408,Maranoa,100
4410,Maranoa,100
4411,Maranoa,100
4412,Maranoa,100
4413,Hinkler,1.5
4413,Maranoa,98.5
4415,Maranoa,100
4416,Maranoa,100
4417,Maranoa,100
4418,Maranoa,100
4419,Maranoa,100
4420,Maranoa,100
4421,Maranoa,100
4422,Maranoa,100
4423,Maranoa,100
4424,Maranoa,100
4425,Maranoa,100
4426,Maranoa,100
4427,Maranoa,100
4428,Maranoa,100
4454,Maranoa,100
4455,Maranoa,100
4461,Maranoa,100
4462,Maranoa,100
4465,Maranoa,100
4467,Maranoa,100
4468,Maranoa,100
4470,Maranoa,100
4471,Maranoa,100
4472,Maranoa,100
4474,Maranoa,100
4475,Maranoa,100
4477,Maranoa,100
4478,Maranoa,100
4479,Maranoa,100
4480,Maranoa,100
4481,Maranoa,100
4482,Maranoa,100
4486,Maranoa,100
4487,Maranoa,100
4488,Maranoa,100
4489,Maranoa,100
4490,Maranoa,100
4491,Maranoa,100
4492,Maranoa,100
4493,Maranoa,100
4494,Maranoa,100
4496,Maranoa,100
4497,Maranoa,100
4498,Maranoa,100
4500,Dickson,100
4501,Dickson,100
4502,Dickson,100
4503,Dickson,97.5
4503,Petrie,2.5
4504,Longman,100
4505,Longman,100
4506,Longman,100
4507,Longman,100
4508,Longman,71.2
4508,Petrie,28.8
4509,Petrie,100
4510,Longman,100
4511,Longman,100
4512,Longman,100
4514,Longman,100
4515,Blair,100
4516,Longman,100
4517,Longman,100
4518,Longman,100
4519,Fisher,11.3
4519,Longman,88.7
4520,Dickson,100
4521,Blair,12.1
4521,Dickson,79.5
4521,Longman,8.3
4550,Fisher,14
4550,Longman,86
4551,Fisher,99.4
4551,Longman,0.6
4552,Fisher,100
4553,Fisher,89.9
4553,Longman,10.1
4554,Fisher,100
4555,Fairfax,69.5
4555,Fisher,30.5
4556,Fisher,100
4557,Fisher,100
4558,Fairfax,65.8
4558,Fisher,34.2
4559,Fairfax,100
4560,Fairfax,98.3
4560,Fisher,1.7
4561,Fairfax,100
4562,Fairfax,100
4563,Fairfax,100
4564,Fairfax,100
4565,Fairfax,100
4566,Fairfax,100
4567,Fairfax,100
4568,Fairfax,100
4569,Fairfax,100
4570,Wide Bay,100
4571,Fairfax,100
4572,Fisher,100
4573,Fairfax,100
4574,Fairfax,100
4575,Fisher,100
4580,Wide Bay,100
4581,Wide Bay,100
4600,Wide Bay,100
4601,Wide Bay,100
4605,Wide Bay,100
4606,Wide Bay,100
4608,Wide Bay,100
4610,Blair,98.6
4610,Maranoa,1.4
4611,Wide Bay,100
4612,Wide Bay,100
4613,Wide Bay,100
4614,Blair,100
4615,Blair,100
4620,Wide Bay,100
4621,Wide Bay,100
4625,Hinkler,100
4626,Hinkler,100
4627,Hinkler,100
4630,Hinkler,100
4650,Wide Bay,100
4655,Wide Bay,100
4659,Wide Bay,100
4660,Hinkler,100
4662,Wide Bay,100
4670,Hinkler,100
4671,Hinkler,100
4673,Hinkler,100
4674,Hinkler,100
4676,Hinkler,100
4677,Hinkler,100
4678,Hinkler,100
4680,Hinkler,100
4694,Hinkler,100
4695,Hinkler,100
4697,Hinkler,100
4699,Capricornia,100
4700,Capricornia,100
4701,Capricornia,100
4702,Capricornia,79.8
4702,Maranoa,20.2
4703,Capricornia,100
4704,Capricornia,100
4705,Capricornia,100
4706,Capricornia,100
4707,Capricornia,100
4709,Maranoa,100
4710,Capricornia,100
4712,Capricornia,100
4713,Capricornia,100
4714,Capricornia,100
4715,Capricornia,100
4716,Capricornia,100
4717,Capricornia,100
4718,Capricornia,100
4719,Capricornia,100
4720,Maranoa,100
4721,Capricornia,100
4722,Maranoa,100
4723,Maranoa,100
4724,Maranoa,100
4725,Maranoa,100
4726,Maranoa,100
4727,Maranoa,100
4728,Maranoa,100
4730,Maranoa,100
4731,Maranoa,100
4732,Maranoa,100
4733,Maranoa,100
4735,Maranoa,100
4736,Maranoa,100
4737,Dawson,100
4738,Dawson,100
4739,Dawson,100
4740,Dawson,100
4741,Capricornia,1.3
4741,Dawson,98.7
4742,Capricornia,100
4743,Capricornia,100
4744,Capricornia,100
4745,Capricornia,100
4746,Capricornia,100
4750,Dawson,100
4751,Dawson,100
4753,Dawson,100
4754,Dawson,100
4756,Dawson,100
4757,Dawson,100
4798,Dawson,100
4799,Dawson,100
4800,Dawson,100
4801,Dawson,100
4802,Dawson,100
4803,Dawson,100
4804,Capricornia,91.9
4804,Dawson,8.1
4805,Dawson,100
4806,Dawson,100
4807,Dawson,100
4808,Dawson,100
4809,Dawson,100
4810,Herbert,100
4811,Herbert,100
4812,Herbert,100
4813,Herbert,100
4814,Herbert,100
4815,Herbert,98.5
4815,Kennedy,1.5
4816,Herbert,48.4
4816,Kennedy,51.6
4817,Herbert,88.5
4817,Kennedy,11.5
4818,Herbert,3
4818,Kennedy,97
4819,Herbert,100
4820,Kennedy,100
4821,Kennedy,100
4822,Kennedy,100
4823,Kennedy,100
4824,Kennedy,100
4825,Kennedy,97.3
4825,Lingiari,2.2
4825,Maranoa,0.5
4828,Kennedy,100
4829,Kennedy,95
4829,Maranoa,5
4830,Kennedy,100
4849,Kennedy,100
4850,Kennedy,100
4852,Kennedy,100
4854,Kennedy,100
4855,Kennedy,100
4856,Kennedy,100
4857,Kennedy,100
4858,Kennedy,100
4859,Kennedy,100
4860,Kennedy,100
4861,Kennedy,100
4865,Kennedy,100
4868,Leichhardt,100
4869,Kennedy,0.2
4869,Leichhardt,99.8
4870,Leichhardt,100
4871,Kennedy,25
4871,Leichhardt,75
4872,Kennedy,77.5
4872,Leichhardt,22.5
4873,Leichhardt,100
4874,Leichhardt,100
4875,Leichhardt,100
4876,Leichhardt,100
4878,Leichhardt,100
4879,Leichhardt,100
4880,Kennedy,100
4882,Kennedy,100
4883,Kennedy,100
4885,Kennedy,100
4886,Kennedy,100
4890,Kennedy,100
4891,Kennedy,100
5000,Adelaide,100
5006,Adelaide,100
5007,Adelaide,54.9
5007,Hindmarsh,21.2
5007,Port Adelaide,23.8
5008,Adelaide,58.4
5008,Port Adelaide,41.6
5009,Hindmarsh,18
5009,Port Adelaide,82
5010,Port Adelaide,100
5011,Port Adelaide,100
5012,Port Adelaide,100
5013,Port Adelaide,100
5014,Port Adelaide,100
5015,Port Adelaide,100
5016,Port Adelaide,100
5017,Port Adelaide,100
5018,Port Adelaide,100
5019,Hindmarsh,48.4
5019,Port Adelaide,51.6
5020,Hindmarsh,100
5021,Hindmarsh,100
5022,Hindmarsh,100
5023,Hindmarsh,2.7
5023,Port Adelaide,97.3
5024,Hindmarsh,100
5025,Hindmarsh,100
5031,Adelaide,38.8
5031,Hindmarsh,61.2
5032,Hindmarsh,100
5033,Hindmarsh,100
5034,Adelaide,100
5035,Adelaide,100
5037,Hindmarsh,100
5038,Hindmarsh,100
5039,Boothby,73.7
5039,Hindmarsh,26.3
5040,Hindmarsh,100
5041,Boothby,100
5042,Boothby,100
5043,Boothby,54.9
5043,Hindmarsh,45.1
5044,Boothby,19.1
5044,Hindmarsh,80.9
5045,Hindmarsh,100
5046,Boothby,100
5047,Boothby,100
5048,Boothby,100
5049,Boothby,100
5050,Boothby,100
5051,Boothby,86.1
5051,Mayo,13.9
5052,Boothby,100
5061,Adelaide,100
5062,Boothby,100
5063,Adelaide,73.3
5063,Boothby,20
5063,Sturt,6.7
5064,Boothby,40
5064,Sturt,60
5065,Adelaide,41.5
5065,Sturt,58.5
5066,Sturt,100
5067,Adelaide,83.5
5067,Sturt,16.5
5068,Sturt,100
5069,Adelaide,100
5070,Adelaide,22.4
5070,Sturt,77.6
5072,Mayo,12.9
5072,Sturt,87.1
5073,Mayo,2.4
5073,Sturt,97.6
5074,Sturt,100
5075,Sturt,100
5076,Sturt,100
5081,Adelaide,75.3
5081,Sturt,24.7
5082,Adelaide,100
5083,Adelaide,100
5084,Adelaide,100
5085,Adelaide,83.9
5085,Makin,16.1
5086,Adelaide,31.6
5086,Sturt,68.4
5087,Sturt,100
5088,Makin,36.1
5088,Sturt,63.9
5089,Sturt,100
5090,Makin,45.5
5090,Sturt,54.5
5091,Makin,100
5092,Makin,100
5093,Makin,100
5094,Makin,73.4
5094,Port Adelaide,26.6
5095,Makin,88
5095,Port Adelaide,12
5096,Makin,100
5097,Makin,100
5098,Makin,100
5106,Port Adelaide,100
5107,Port Adelaide,100
5108,Port Adelaide,65.6
5108,Wakefield,34.4
5109,Makin,70.5
5109,Wakefield,29.5
5110,Port Adelaide,88.6
5110,Wakefield,11.4
5111,Wakefield,100
5112,Wakefield,100
5113,Wakefield,100
5114,Wakefield,100
5115,Wakefield,100
5116,Wakefield,100
5117,Wakefield,100
5118,Barker,3
5118,Wakefield,97
5120,Wakefield,100
5121,Wakefield,100
5125,Makin,100
5126,Makin,100
5127,Makin,100
5131,Mayo,100
5132,Mayo,100
5133,Mayo,100
5134,Mayo,100
5136,Mayo,100
5137,Mayo,100
5138,Mayo,100
5139,Mayo,100
5140,Mayo,100
5141,Mayo,100
5142,Mayo,100
5144,Mayo,100
5150,Boothby,100
5151,Mayo,100
5152,Mayo,100
5153,Mayo,100
5154,Mayo,100
5155,Mayo,100
5156,Boothby,23.7
5156,Mayo,76.3
5157,Mayo,100
5158,Kingston,100
5159,Boothby,28.4
5159,Kingston,21.8
5159,Mayo,49.8
5161,Kingston,100
5162,Kingston,100
5163,Kingston,100
5164,Kingston,100
5165,Kingston,100
5166,Kingston,100
5167,Kingston,100
5168,Kingston,100
5169,Kingston,100
5170,Kingston,100
5171,Kingston,100
5172,Kingston,80.2
5172,Mayo,19.8
5173,Kingston,100
5174,Kingston,100
5201,Mayo,100
5202,Mayo,100
5203,Mayo,100
5204,Mayo,100
5210,Mayo,100
5211,Mayo,100
5212,Mayo,100
5213,Mayo,100
5214,Mayo,100
5220,Mayo,100
5221,Mayo,100
5222,Mayo,100
5223,Mayo,100
5231,Mayo,100
5232,Mayo,100
5233,Mayo,100
5234,Mayo,100
5235,Barker,19.2
5235,Mayo,80.8
5236,Barker,100
5237,Barker,100
5238,Barker,100
5240,Mayo,100
5241,Mayo,100
5242,Mayo,100
5243,Mayo,100
5244,Mayo,100
5245,Mayo,100
5250,Mayo,100
5251,Mayo,100
5252,Mayo,100
5253,Barker,100
5254,Barker,94.5
5254,Mayo,5.5
5255,Mayo,100
5256,Mayo,100
5259,Barker,100
5260,Barker,100
5261,Barker,100
5262,Barker,100
5263,Barker,100
5264,Barker,100
5265,Barker,100
5266,Barker,100
5267,Barker,100
5268,Barker,100
5269,Barker,100
5270,Barker,100
5271,Barker,100
5272,Barker,100
5273,Barker,100
5275,Barker,100
5276,Barker,100
5277,Barker,100
5278,Barker,100
5279,Barker,100
5280,Barker,100
5290,Barker,100
5291,Barker,100
5301,Barker,100
5302,Barker,100
5303,Barker,100
5304,Barker,100
5306,Barker,100
5307,Barker,100
5308,Barker,100
5309,Barker,100
5310,Barker,100
5311,Barker,100
5312,Barker,100
5320,Barker,100
5321,Barker,100
5322,Barker,100
5330,Barker,100
5331,Barker,100
5332,Barker,100
5333,Barker,100
5340,Barker,100
5341,Barker,100
5342,Barker,100
5343,Barker,100
5344,Barker,100
5345,Barker,100
5346,Barker,100
5350,Barker,100
5351,Barker,52.3
5351,Mayo,47.7
5352,Barker,92.1
5352,Wakefield,7.9
5353,Barker,100
5354,Barker,100
5355,Barker,91.2
5355,Wakefield,8.8
5356,Barker,100
5357,Barker,100
5360,Wakefield,100
5371,Wakefield,100
5372,Wakefield,100
5373,Wakefield,100
5374,Grey,100
5381,Grey,100
5400,Wakefield,100
5401,Wakefield,100
5410,Wakefield,100
5411,Wakefield,100
5412,Wakefield,100
5413,Wakefield,100
5414,Wakefield,100
5415,Wakefield,100
5416,Grey,100
5417,Grey,100
5418,Grey,100
5419,Grey,100
5420,Grey,100
5421,Grey,100
5422,Grey,100
5431,Grey,100
5432,Grey,100
5433,Grey,100
5434,Grey,100
5440,Grey,100
5451,Wakefield,100
5452,Wakefield,100
5453,Wakefield,100
5454,Grey,100
5455,Wakefield,100
5460,Wakefield,100
5461,Wakefield,100
5462,Grey,100
5464,Grey,100
5470,Grey,100
5471,Grey,100
5472,Grey,100
5473,Grey,100
5480,Grey,100
5481,Grey,100
5482,Grey,100
5483,Grey,100
5485,Grey,100
5490,Grey,100
5491,Grey,100
5493,Grey,100
5495,Grey,100
5501,Wakefield,100
5502,Wakefield,100
5510,Grey,100
5520,Grey,100
5521,Grey,100
5522,Grey,100
5523,Grey,100
5540,Grey,100
5550,Wakefield,100
5552,Grey,100
5554,Grey,100
5555,Grey,100
5556,Grey,100
5558,Grey,100
5560,Grey,100
5570,Grey,100
5571,Grey,100
5572,Grey,100
5573,Grey,100
5575,Grey,100
5576,Grey,100
5577,Grey,100
5580,Grey,100
5581,Grey,100
5582,Grey,100
5583,Grey,100
5600,Grey,100
5601,Grey,100
5602,Grey,100
5603,Grey,100
5604,Grey,100
5605,Grey,100
5606,Grey,100
5607,Grey,100
5608,Grey,100
5609,Grey,100
5630,Grey,100
5631,Grey,100
5632,Grey,100
5633,Grey,100
5640,Grey,100
5641,Grey,100
5642,Grey,100
5650,Grey,100
5651,Grey,100
5652,Grey,100
5653,Grey,100
5654,Grey,100
5655,Grey,100
5660,Grey,100
5661,Grey,100
5670,Grey,100
5671,Grey,100
5680,Grey,100
5690,Grey,100
5700,Grey,100
5710,Grey,100
5720,Grey,100
5722,Grey,100
5723,Grey,100
5724,Grey,100
5725,Grey,100
5730,Grey,100
5731,Grey,100
5732,Grey,100
5733,Grey,100
5734,Grey,100
5950,Hindmarsh,100
6000,Perth,100
6003,Perth,100
6004,Perth,100
6005,Curtin,84.7
6005,Perth,15.3
6006,Curtin,35
6006,Perth,65
6007,Curtin,100
6008,Curtin,100
6009,Curtin,100
6010,Curtin,100
6011,Curtin,100
6012,Curtin,100
6014,Curtin,100
6015,Curtin,100
6016,Curtin,100
6017,Curtin,2.7
6017,Stirling,97.3
6018,Curtin,28.1
6018,Stirling,71.9
6019,Curtin,30.4
6019,Stirling,69.6
6020,Moore,52.8
6020,Stirling,47.2
6021,Stirling,100
6022,Stirling,100
6023,Moore,100
6024,Cowan,100
6025,Moore,100
6026,Cowan,100
6027,Moore,100
6028,Moore,100
6029,Stirling,100
6030,Pearce,100
6031,Cowan,97.5
6031,Pearce,2.5
6032,Pearce,100
6033,Pearce,100
6035,Pearce,100
6036,Pearce,100
6037,Pearce,100
6038,Pearce,100
6041,Pearce,100
6042,Pearce,100
6043,Pearce,100
6044,Pearce,100
6050,Perth,100
6051,Perth,100
6052,Perth,100
6053,Perth,100
6054,Perth,100
6055,Hasluck,77.5
6055,Pearce,22.5
6056,Hasluck,42.6
6056,Pearce,57.4
6057,Hasluck,100
6058,Hasluck,100
6059,Cowan,1.4
6059,Perth,40.3
6059,Stirling,58.3
6060,Curtin,21.1
6060,Perth,1
6060,Stirling,77.9
6061,Stirling,100
6062,Cowan,28.9
6062,Perth,71.1
6063,Perth,100
6064,Cowan,100
6065,Cowan,99.4
6065,Pearce,0.6
6066,Cowan,100
6067,Cowan,100
6069,Pearce,100
6070,Pearce,100
6071,Pearce,100
6072,Pearce,100
6073,Pearce,100
6074,Pearce,100
6076,Hasluck,88.4
6076,Pearce,11.6
6081,Pearce,100
6082,Pearce,100
6083,Pearce,100
6084,Pearce,100
6090,Cowan,100
6100,Swan,100
6101,Swan,100
6102,Swan,100
6103,Swan,100
6104,Swan,100
6105,Swan,100
6107,Hasluck,23.1
6107,Swan,76.9
6108,Canning,26
6108,Hasluck,74
6109,Hasluck,100
6110,Canning,18.7
6110,Hasluck,81.3
6111,Canning,100
6112,Canning,100
6121,Canning,100
6122,Canning,100
6123,Canning,100
6124,Canning,100
6125,Canning,100
6126,Canning,100
6147,Tangney,100
6148,Tangney,100
6149,Tangney,100
6150,Tangney,100
